V,I,L,J mA cm^-2,photon flux s^-1 sr^-1,EQE %,luminous density L cd m^-2
0.00057364,1.1333e-09,-1.000000000001e-06,2.83325e-05,-2473384653.3806868,-109.8396543246548,-0.040430148192108724
0.081299,6.577e-09,-8.999999999998592e-06,0.000164425,-22260461880.400436,-170.3408122569387,-0.36387133372855773
0.16172,1.1586e-08,4.000000000000531e-06,0.00028965,9893538613.514166,42.9764475214995,0.16172059276829465
0.2428,1.755e-08,-5.999999999999062e-06,0.00043875000000000007,-14840307920.266956,-42.55770264820078,-0.2425808891523718
0.32324,2.5437e-08,-1.000000000001e-06,0.000635925,-2473384653.3806868,-4.8937091734926,-0.040430148192108724
0.4043,3.4021e-08,-1.000000000001e-06,0.000850525,-2473384653.3806868,-3.6589541825969634,-0.040430148192108724
0.48539,4.2938e-08,-1.2000000000001593e-05,0.0010734499999999999,-29680615840.542496,-34.78912299017839,-0.48516177830488394
0.56579,5.306e-08,1.4000000000000123e-05,0.0013265,34627385147.29529,32.844664972561446,0.566022074688961
0.64649,6.1267e-08,0.0,0.0015316750000000001,0.0,0.0,0.0
0.72758,7.2827e-08,-4.000000000000531e-06,0.001820675,-9893538613.514166,-6.837095046948155,-0.16172059276829465
0.808,9.2256e-08,1.5000000000001124e-05,0.0023064,37100769800.67598,20.239542183600435,0.6064522228810698
0.88907,1.0966e-07,4.000000000000531e-06,0.0027415,9893538613.514166,4.540626673208948,0.16172059276829465
0.96951,1.2985e-07,-1.900000000000165e-05,0.0032462499999999996,-46994308414.19013,-18.214434537345667,-0.7681728156493643
1.0506,1.5375e-07,1.9999999999985307e-06,0.0038437500000000004,4946769306.752792,1.619268686125728,0.08086029638407718
1.1313,1.8108e-07,-2.2000000000001185e-05,0.004527,-54414462374.323616,-15.12363687548209,-0.8894632602255503
1.2117,2.1806e-07,-2.500000000000072e-05,0.0054515,-61834616334.45711,-14.271448253463538,-1.0107537048017363
1.2928,2.5733e-07,-1.000000000001e-06,0.00643325,-2473384653.3806868,-0.4837418110835553,-0.040430148192108724
1.3733,2.9357e-07,-1.900000000000165e-05,0.007339249999999999,-46994308414.19013,-8.056491891795261,-0.7681728156493643
1.4545,3.2582e-07,-1.9999999999985307e-06,0.0081455,-4946769306.752792,-0.764110737498713,-0.08086029638407718
1.5357,3.9047e-07,-1.4000000000000123e-05,0.00976175,-34627385147.29529,-4.463180073870234,-0.566022074688961
1.6162,4.4228e-07,-3.699999999999884e-05,0.011057,-91515232174.99101,-10.413781697345813,-1.4959154831064798
1.6971,5.0023e-07,-1.2999999999999123e-05,0.012505749999999998,-32154000493.9146,-3.2350251748155427,-0.5255919264968524
1.7781,5.4398e-07,-2.6999999999999247e-05,0.0135995,-66781385641.20989,-6.1785259874298495,-1.0916140011858135
1.8588,6.2112e-07,-5.999999999999062e-06,0.015527999999999998,-14840307920.266956,-1.2024853192232157,-0.2425808891523718
1.94,6.4103e-07,-1.9999999999999185e-05,0.01602575,-49467693067.56225,-3.8837895339064232,-0.808602963841333
2.0203,6.5795e-07,-2.9999999999998778e-05,0.01644875,-74201539601.34337,-5.67586960617076,-1.2129044457619993
2.1016,7.0814e-07,-4.000000000000531e-06,0.0177035,-9893538613.514166,-0.7031450292090452,-0.16172059276829465
2.182,6.8172e-07,-2.399999999999972e-05,0.017043,-59361231681.07642,-4.382372126245567,-0.9703235566096277
2.2631,8.839e-07,-4.099999999999937e-05,0.022097500000000003,-101408770788.50517,-5.7741062225208735,-1.6576360758747744
2.3438,1.081e-06,8.999999999998592e-06,0.027024999999999997,22260461880.400436,1.0363843868768603,0.36387133372855773
2.4243,1.2826e-06,-7.000000000000062e-06,0.032065,-17313692573.647644,-0.6793770167800212,-0.2830110373444805
2.5055,1.5305e-06,-1.5000000000001124e-05,0.0382625,-37100769800.67598,-1.220006013518616,-0.6064522228810698
2.5866,1.9803e-06,5.499999999999949e-05,0.049507499999999996,136036155935.80045,3.4572895084231225,2.2236581505637356
2.6671,2.4354e-06,5.9000000000000025e-05,0.060884999999999995,145929694549.31464,3.01568347479445,2.3853787433320304
2.7482,3.0165e-06,7.199999999999915e-05,0.0754125,178083695043.22925,2.9712090759862035,2.910970669828883
2.829,3.9377e-06,0.0001349999999999,0.09844249999999999,333906928205.81146,4.267712835715892,5.458070005925177
2.9094,4.9164e-06,0.000161,0.12291,398214929193.89233,4.076455560899661,6.509253858922996
2.9905,6.0093e-06,0.000237,0.15023250000000002,586192162850.6365,4.909400998170105,9.581945121520183
3.0709,6.916e-06,0.0003329999999999,0.1729,823637089574.6976,5.993676449090198,13.463239347954698
3.1522,8.7438e-06,0.0004,0.21859499999999998,989353861351.2853,5.694607847663799,16.172059276827316
3.2327,9.6526e-06,0.000501,0.24131499999999997,1239165711342.4849,6.460966102733916,20.255504244226216
3.3134,1.1705e-05,0.0005929999999999,0.292625,1466717099453.0332,6.306484338818418,23.975077877892456
3.3941,1.4018e-05,0.0007479999999999,0.35045000000000004,1850091720726.6562,6.642316851476718,30.241750847663038
3.4746,1.7109e-05,0.0008879999999999,0.42772499999999997,2196365572199.606,6.4608905756292945,35.9019715945526
3.5556,2.0565e-05,0.0010539999999999,0.5141249999999999,2606947424660.3896,6.3799304341978464,42.61337619443594
3.6367,2.4024e-05,0.0012449999999999,0.6006,3079363893455.628,6.45101539736372,50.33553449912098
3.7172,2.7791e-05,0.001447,0.694775,3578987593438.274,6.481393707170371,58.50242443392282
3.7982,3.19e-05,0.0016949999999999,0.7975000000000001,4192386987475.8237,6.614287461346991,68.52910118555171
3.879,3.7076e-05,0.001958,0.9269000000000001,4842887151314.541,6.573911606475382,79.16223016006973
3.9594,4.2614e-05,0.0022509999999999,1.06535,5567588854754.111,6.575476646964586,91.0082635803417
4.0405,4.8698e-05,0.002574,1.21745,6366492097795.52,6.5796298688492625,104.06720144638379
4.1211,5.5683e-05,0.0029479999999999,1.392075,7291537958158.726,6.590356377444024,119.18807687021328
4.2022,6.3033e-05,0.0033369999999999,1.575825,8253684588322.85,6.5901041070695054,134.91540451692785
4.2834,7.136e-05,0.0037529999999999,1.7839999999999998,9282612604128.186,6.546780335807889,151.73434616482828
4.3639,8.0059e-05,0.0041899999999999,2.001475,10363481697654.467,6.514902312429034,169.4023209247621
4.4448,8.9951e-05,0.00468,2.248775,11575440177810.04,6.476552695926802,189.2130935388796
4.526,0.00010069,0.005204,2.51725,12871493736180.223,6.433613888173795,210.3984911915234
4.6063,0.00011097,0.00579,2.77425,14320897143059.855,6.494968123135797,234.09055803207542
4.6874,0.00012347,0.0060319999999999,3.0867500000000003,14919456229177.135,6.081405057454446,243.8746538945519
4.7679,0.00013624,0.006971,3.406,17241964418699.523,6.369340902781219,281.83856304690806
4.8491,0.00015115,0.0076379999999999,3.7787499999999996,18891711982502.543,6.290360691491812,308.8054718910136
4.9299,0.00016655,0.00841,4.16375,20801164934910.773,6.285725408999802,340.0175462952944
5.0107,0.00018291,0.009184,4.572749999999999,22715564656625.508,6.2502655829606155,371.3104809959552
5.0916,0.00020125,0.010016,5.03125,24773420688236.184,6.195301877982628,404.94836429175604
5.1721,0.00022047,0.010868,5.51175,26880744412914.418,6.13626594871684,439.3948505513981
5.2533,0.00024131,0.011786,6.03275,29151311524715.617,6.079882180512353,476.5097265917169
5.3344,0.00026196,0.012792,6.5489999999999995,31639536486014.1,6.0786552790766475,517.1824556729375
5.4149,0.00028516,0.013845,7.1290000000000004,34244010526021.36,6.04377656405514,559.7554017191854
5.4956,0.00031035,0.0149459999999999,7.758749999999999,36967207029390.52,5.994835555201562,604.2689948786486
5.5767,0.00033759,0.016163,8.43975,39977316152552.055,5.95986531774107,653.4724852283998
5.6571,0.00036457,0.017412,9.11425,43066573584621.445,5.945272654479167,703.9697403202931
5.7382,0.00039521,0.018698,9.88025,46247346248865.83,5.889403046582411,755.9629108952928
5.8186,0.00042764,0.020048,10.691,49586415530926.42,5.835751347797082,810.5436109545851
5.8997,0.00046247,0.0214749999999999,11.56175,53115935431296.88,5.780343575330256,868.2374324246625
5.9805,0.00049941,0.023026,12.48525,56952155028686.74,5.739384391471041,930.9445922705646
6.0612,0.00053896,0.024582,13.474,60800741549343.23,5.677599137240868,993.8539028574228
6.1419,0.0005811,0.026238,14.527499999999998,64896666535337.56,5.620615782300338,1060.8062282634878
6.2223,0.00062577,0.0279899999999999,15.644250000000001,69230036448055.94,5.56790998943017,1131.6398478959875
6.3034,0.00067306,0.029767,16.8265,73625240977109.27,5.505355048707224,1203.4842212332967
6.3845,0.00072347,0.03163,18.086750000000002,78233156586352.88,5.442302920896781,1278.8055873151202
6.4649,0.00077554,0.033615,19.3885,83142825123308.64,5.39551568645011,1359.0594314763755
6.546,0.00083171,0.0356559999999999,20.79275,88191003200853.33,5.336601133149302,1441.577363936383
6.6268,0.00089076,0.03783,22.269,93568141437297.81,5.286639309922355,1529.4725061059435
6.7072,0.0009517,0.040012,23.7925,98965066750969.06,5.233524204269437,1617.6910894610364
6.7884,0.0010175,0.042322,25.437499999999996,104678585300272.73,5.177687216286486,1711.0847317847142
6.8687,0.0010961,0.04468,27.4025,110510826312938.55,5.074193596744441,1806.4190212216113
6.9499,0.0011667,0.045591,29.167499999999997,112764079732166.11,4.864340488296645,1843.2508862245854
7.031,0.0012415,0.048994,31.0375,121181007707612.19,4.912473495266095,1980.834680522194
7.1116,0.0013191,0.051547,32.9775,127495558727686.75,4.864404937336754,2084.052848856544
7.1924,0.001401,0.054155,35.02499999999999,133946145903697.12,4.811765690023195,2189.4946753414583
7.2732,0.0014864,0.056815,37.16,140525349081683.17,4.75807584578638,2297.03886953236
7.354,0.0015758,0.059578,39.395,147359310878967.2,4.706400377266527,2408.747368987045
7.4352,0.0016693,0.062356,41.7325,154230373446051.88,4.649945912070927,2521.0623206646105
7.5157,0.0017666,0.065178,44.165,161210264937885.2,4.592687016797369,2635.156198862627
7.5968,0.0018666,0.068063,46.665,168345979662881.3,4.5390385606900026,2751.7971763967444
7.6776,0.0019712,0.070971,49.28000000000001,175538582234905.2,4.481818658857218,2869.3680473392787
7.7581,0.0020777,0.073923,51.9425,182840013731677.66,4.428950127364662,2988.7178448022646
7.8393,0.0021903,0.076853,54.7575,190087030766075.8,4.367785157625147,3107.1781790050245
7.9198,0.0023048,0.07984,57.620000000000005,197475030725716.53,4.312124876276111,3227.943031654732
8.001,0.002424,0.08284,60.599999999999994,204895184685851.16,4.254137481674587,3349.2334762309374
